ID,Title,Category,Duration,Content Rating,Release Date,Director,Writer,Story,Details
0,"Murder 2 ,",Thriller,2h 7min,6.1,"8 July 2011 (India)
,",Mohit Suri,"Mahesh Bhatt,Shagufta Rafique","Orphaned at a young age, former officer with Goa Police, Arjun Vishnu Bhaagwat, now lives alone, though he has a sweetheart in gorgeous model, Priya. Amidst reports of police extending their search for missing prostitutes, specifically the Caucasian daughter of a high-profile Russian Diplomat, Arjun is hired by a gangster, Sameer, and for a fee, must not only locate missing call-girls but also their abductor. Unable to get any clues, he than enlists the assistance of Sameer to recruit a bait, Reshma, who comes from an impoverished family, for the killer. Shortly thereafter Reshma goes missing, and Arjun loses contact with her. Guilt-ridden, he decides to use all possible resources to try and locate her before she herself becomes included in the official 'missing persons' list.                ,","India,Hindi,English,Film City, Goregaon, Mumbai, Maharashtra, India,company contact information,IMDbPro,Dolby Digital,Color"
1,"Himeanole ,","Crime,Thriller",1h 39min,7.6,"28 May 2016 (Japan)
,",Keisuke Yoshida,"Minoru Furuya,Keisuke Yoshida",,"Official Facebook [Japan],Official site [Japan],Japan,Japanese,company contact information,IMDbPro,Color"
2,"The Last Picture Show ,",Drama,1h 58min,8.1,"22 October 1971 (USA)
,",Peter Bogdanovich,"Larry McMurtry,Peter Bogdanovich","In tiny Anarene, Texas, in the lull between World War Two and the Korean Conflict, Sonny and Duane are best friends. Enduring that awkward period of life between boyhood and manhood, the two pass their time the best way they know how -- with the movie house, football, and girls. Jacey is Duane's steady, wanted by every boy in school, and she knows it. Her daddy is rich and her mom is good looking and loose. It's the general consensus that whoever wins Jacey's heart will be set for life. But Anarene is dying a quiet death as folks head for the big cities to make their livings and raise their kids. The boys are torn between a future somewhere out there beyond the borders of town or making do with their inheritance of a run-down pool hall and a decrepit movie house -- the legacy of their friend and mentor, Sam the Lion. As high school graduation approaches, they learn some difficult lessons about love, loneliness, and jealousy. Then folks stop attending the second-run features at the ...                ,","USA,English,200 S. Walnut Street, Holliday, Texas, USA,company contact information,IMDbPro,Mono, Black and White"
3,The Blacklist ,"Crime,Drama,Mystery",43min,8.2,TV Series (2013– ),Jon Bokenkamp,"James Spader,Megan Boone,Diego Klattenhoff","A highly articulate, erudite and intelligent businessman and mastermind, ""Red"" Reddington, has allegedly been on the ""10 Most Wanted List"" of various U.S. law enforcement agencies for over 20 years. The legend is that Red is as elusive as he is clever, controlling a labyrinth of creative enterprises, coupled with uncanny ability to gather and finesse information at the drop of a hat. On the first day at FBI for a new female profiler fresh out of Quantico, Red offers to bandy wits with the FBI. Red promises to deliver various criminals and plots previously unknown to any branch of law enforcement... and all Red requests in return is to choose his muse.                ,","Official site,Official site [Singapore],USA,English,Pleasantville, New York, USA,company contact information,IMDbPro,Stereo,DTS,Color"
4,"Life as We Know It ,","Comedy,Drama,Romance",1h 54min,6.6,"8 October 2010 (USA)
,",Greg Berlanti,"Ian Deitchman,Kristin Rusk Robinson","Holly and Eric were set up on a blind date by their friends, Peter and Allison who are married. After Peter and Allison are killed in an accident, they learn that they have been named as the guardians to Peter and Allison's daughter, Sophie. So they move into their house and try their best to honor their friends' wishes. But raising a child puts a crimp on their style and they don't exactly get along.                ,","Official site,Official site [France],USA,English,Turner Broadcasting System, Inc. - 1050 Techwood Drive, Atlanta, Georgia, USA,company contact information,IMDbPro,Dolby Digital,Color"
5,"Shackled ,","Short,Drama,Thriller",12min,7.5,,Nour Wazzi,"Shirine Best,Ellie Emptage","Held captive by a circus, Malu is frantically rescued from her shackles by her husband. As she waits anxiously in the darkness for her chance to escape, a disturbing truth she's hidden away seeps back in.","Official Facebook,Official YouTube channel,UK,English,company contact information,IMDbPro,Color"
6,Vice Principals ,Comedy,30min,7.9,TV Series (2016– ),"Jody Hill,Danny McBride","Danny McBride,Walton Goggins,Sheaun McKinney","A dark comedy series about a high school and the two vice principals. McBride and Walton Goggins star as the V.P.s who are in an epic power struggle, vying for the top spot: to be school principal.","USA,English,Charleston, South Carolina, USA,company contact information,IMDbPro,Dolby Digital,Color"
7,Lady Gaga/Jude Law/Greg Davies/June Brown ,"Comedy,Talk-Show",1h,7.0,"Episode aired 8 November 2013
,",Steve Smith,"Rob Colley,Dan Gaster",,"UK,England, UK,company contact information,IMDbPro,Color"
8,Cobalt ,"Drama,Horror,Sci-Fi",46min,7.7,"Episode aired 27 September 2015
,",Kari Skogland,"Robert Kirkman,Tony Moore","Nick has a conversation with his cell mate Strand. Meanwhile Ofelia challenges the soldiers throwing objects at the fence asking where her mother is and Andrew Adams comes to take her home. Liza is working in the medical facility under the supervision of Dr. Exner and she learns that Griselda had to amputate her foot. Madison overhears a beat and she finds Daniel and Ofelia in the basement of their neighbor's house and Adams tied to a chair. When Madison and Ofelia leave the basement, Daniel tortures Adams to know where Griselda and Nick are. Meanwhile Travis meets Moyers and tells that he will face an insurrection in the community and Moyers asks Copro Castro to drive Travis to the medical facility. In their journey, they need to stop to fight against zombies that have trapped another National Guard team. Only Castro and a few man return and they drive Travis back to the safe zone. Meanwhile the Salvadorian Daniel recalls his life in El Salvador and tortures Adams. Soon he learns the...                ,","USA,English,Spanish,Vancouver, Canada,company contact information,IMDbPro,Color"
9,Down to the Wire ,"Action,Crime,Drama",45min,8.1,"Episode aired 12 May 2008
,",Eagle Egilsson,"Anthony E. Zuiker,Ann Donahue","Miami PD Commander Briggs's SWAT team, responding swiftly to a call, shoots the villa owner Michael Maddox. He was just carrying a kitchen-knife for self-defense, no crime had been committed. The call is traced to the home of Neil Jackson, against whom Michael had a real estate legal complaint. However it is revealed that the voice on the call was not his, and Neil claims there was an intruder watching from a tree. Skin is found there, and the DNA is that of dodgy P.I. Kurt Rossi, who was hired by Michael to prove widow Lucy Maddox's alleged adultery, which she calls paranoia. She suspects Michael's hedge fund business partner Peter Cullen. Paint on Michael's car proves his car was involved in a collision with that of Charlie Decker, who is forced to admit that he is Lucy's lover. The caller was female, the line rigged by neighbor Danny to Cullen's office, his assistant phoned the SWAT - and is found shot in her car. Rossi dusts his law degree off to defend Cullen, who is found with ...                ,","USA,English,Hawthorne, California, USA,company contact information,IMDbPro,Stereo,Dolby Digital,Color"
