ID,Title,Year,Director,Writer,Genre,Cast,Duration,Description,Audience Rating,Movie Rating,Studio,Release Date at Theaters,Release Date on DVD,Box Office Revenue
0,,,Marty Callner,,,,,Will Ferrell returns once again as George W. Bush to say goodbye to the American public and give a little insight into the past 8 years as our president.,",
            3.5/5",,,,,
1,,,"Penelope Spheeris,Lloyd Kaufman,Michael Herz",,,,,Learn how to DIRECT YOUR OWN DAMN MOVIE! From the master of independent cinema Lloyd Kaufman Creator of The Toxic Avenger and President of Troma Entertainment.,",
            2.9/5",,,,,
2,Spoken Word,(2010),Victor Nuñez,"William T. Conway,Joe Ray Sandoval,Jimmy Santiago Baca",Drama,"Kuno Becker,
                Ruben Blades,
                Miguel Sandoval,
                Persia White,
                Antonio Elias,
                Monique Gabriela Cumen,
                Rashaan Nall,
                Jernard Burks,
                Maurice Compte,
                Castulo Guerra,
                Johnnie Hector,
                Andre Jamal Kinney,
                Courtney Cunningham,
                Stephen A. Eiland,
                Stephen Eiland,
                Deborah Chavez,
                Jerry G. Angelo,
                Nya Marie Serano,
                Brandon Zaragoza,
                Laurence Chavez,
                Arron Shiver,
                Beth Bailey,
                Rick A. Ortega, Jr.,
                Joe Manuel Gallegos Jr.,
                Sophia M. Garcia,
                Julio Omar González,
                Father Julio González,
                Myrna I. Vigil,
                Casey Messer",,"From acclaimed director Victor Nunez (""Ulee's Gold""), SPOKEN WORD tells the story of Cruz Montoya (Kuno Becker, from the ""Goal!"" trilogy and ""From Mexico With Love""), a rock star on the West Coast poetry circuit, where audiences from San Diego to Seattle gather to hear him perform. Just off the road from a successful tour, Cruz gets an unexpected call alerting him that his father, Senior (played by Rubén Blades), is fatally ill. Cruz rushes home to his dying father, a reclusive former schoolteacher still leading a traditional life in their once bucolic mountain valley, now ravaged by poverty, drug abuse, and violence. After years away, Cruz quickly begins to retreat into his troubled former life, managing a Santa Fe hip-hop club owned by a local crime boss, Emilio (Miguel Sandoval, ""Bottle Shock"" and ""Clear and Present Danger""), who Senior used to run with back in the day. Seduced by the fast action and easy money, Cruz loses his poetic voice, his identity, and almost his life, before he finds a way to heal his relationships with his family, his community, and himself. A nuanced depiction of an evolving father-son relationship, SPOKEN WORD depicts the edgy collision of old and new worlds in a rare, authentic portrait of Latino culture in the Southwest, illustrating how cultural roles and machismo can give way when families can move beyond words, both spoken and unspoken, to share the language of their hearts. -- (C) Official Site",",
            3.0/5",NR,Variance Films,"Jul 23, 2010","Oct 12, 2010","$32,728.00"
3,U Want Me 2 Kill Him?,(2014),Andrew Douglas,Mike Walden,"Drama,Mystery & Suspense","Jamie Blackley,
                Toby Regbo,
                Jaime Winstone,
                Mark Womack,
                Joanne Froggatt,
                Liz White,
                Amy Wren,
                Stephanie Leonidas,
                Louise Delamere,
                James Burrows,
                Jack Lowden,
                Anthony Warren,
                Scott Chambers,
                Jay McDonald,
                Brigid Zengeni,
                Mingus Johnston,
                Quill Roberts,
                Aiden Smith,
                Neil Stewart,
                Charles De'Ath,
                Kai Taylor,
                Kerry Louise,
                Missy Douglas,
                Maddy Hill,
                Johnny Palmiero,
                Lenore Thomas,
                Roderick Culver,
                Raymond Daniel-Davies,
                Jonathan Barlow,
                Richard Trinder,
                Priyanga Burford,
                Vincent Brimble,
                Hannah Douglass,
                Hannah Douglas",,"16-year-old Mark meets local girl Rachel on the internet, he begins an intense online relationship. He quickly finds that he's besotted, that he'll do anything for her, even befriend her awkward, loner brother, John. When Rachel, who is trapped within the grips of a possessive boyfriend, is murdered, Mark and John make plans to avenge her death. Their actions draw the attention of a secret government department as they unwittingly stumble upon an ongoing operation. Soon Mark is recruited to commit a crime that made British legal history. Based on true events in the UK in 2003, this is the story of a friendship of opposites and the hidden evils that lurk deep within the Internet.",",
            3.2/5",NR,,"Mar 14, 2014",92 minutes,","
4,,,Kevin Dunn,,,,,"WWF Title: (Iron Man match, special referee Shawn Michaels): The Rock vs. Triple H, WWF Intercontinental Title (submission match): Chris Benoit vs. Chris Jericho, WWF European Title: Eddie Guererro vs. Perry Saturn vs. Dean Malenko, Falls Count Anywhere: Shane McMahon vs. The Big Show, Tables Match: X-Pac & The Road Dogg vs. The Dudley Boyz, Edge, Christian & Kurt Angle vs. Too Cool & Rikishi.",",
            4.0/5",,,,,
5,,,,,,,,,",
            3.2/5",,,,,
6,Lost Time,(2014),Christian Sesma,"Christian Sesma,Kenneth Owens","Horror,Mystery & Suspense,Science Fiction & Fantasy","Derek Mears,
                Lin Shaye,
                Luke Goss,
                Robert Davi,
                Rochelle Vallese",,"After leaving a doctor visit with the worst news, Valerie Dreyfuss and her sister Melissa come to a stop on a lonely stretch of road. Their car is engulfed by a blinding light....12 hours later Valerie wakes to the horror that her sister is gone, nowhere to be found.",",
            1.8/5",NR,,93 minutes,,
7,"The Gambler, The Girl, & the Gunslinger",(2009),Anne Wheeler,"Larry Cohen,Bob Barbash","Comedy,Television,Western",,,"Two mortal enemies must band together to defend the ranch they've both staked their claim on in this rollicking western comedy starring Dean Cain and Natasha Henstrige. When B.J. (James Tupper) wagered half of his ranch in a bet with Shea (Cain), he never thought he'd come out on the losing end. Now that ownership of the ranch is split down the middle, the two gamblers can't quite agree on anything. The most hotly contested debate to result from the wager isn't the ranch, however, but the hand of the lovely Liz Calhoun (Allison Hossack). Both men want Liz, but neither man can have her. When a gang of bandits makes a bid for the ranch, B.J. and Shea momentarily put their differences aside to fight shoulder to shoulder against a common enemy.",",
            2.8/5",G,,"Aug 30, 2009",90 minutes,E1 Entertainment
8,,,,,,,,"For millennia, the strange and inexplicable disappearance of Nefertiti, Queen of Egypt, reigned as one of history's most formidable unsolved mysteries. Despite the royal's reputation as one of the most uncompromising and widely-loathed rulers in Egyptian history, questions abounded as to her final whereabouts. Now, with the special Nefertiti and the Lost Dynasty, National Geographic - which gained exclusive access to unidentified tombs prior to this release - sends an archaeological crew to the site of those burials and undertakes a series of on-camera tests to unearth and identify a series of remains, with the hope of locating Nefertiti's mummy and answering longstanding questions that may shed some light on why and how she vanished.",",
            
                    N/A",,,,,
9,Sunset Song,(2016),Terence Davies,Terence Davies,"Art House & International,Drama","Agyness Deyn,
                Peter Mullan,
                Kevin Guthrie,
                Ian Pirie,
                Niall Greig Fulton,
                Mark Bonnar,
                Ron Donachie,
                Daniela Nardini,
                Jack Greenlees,
                Stuart Bowman,
                Jamie Michie,
                Hugh Ross,
                Douglas Rankine,
                Jim Sweeney,
                Antony Strachan,
                Claire Johnston,
                Trish Mullin,
                Linda Duncan McLaughlin,
                Ken Blackburn,
                Emily-Jane Boyle,
                David Ganly,
                Julian Nest,
                Anne Comfort,
                Bridget McCann,
                Simon Tait,
                Gilbert Johnston,
                Tom Duncan,
                Indigo Paul,
                Maelly Comes,
                Gaetan Fyfe,
                Luca Humphries,
                Callum Adams,
                John Molloy,
                Ewan Comes,
                James A. Adamson,
                Gavan Guilfoyle,
                Louise Haggerty",,"Sunset Song is Terence Davies' intimate epic of hope, tragedy and love at the dawning of the Great War. A young woman's endurance against the hardships of rural Scottish life, based on the novel by Lewis Grassic Gibbon, told with gritty poetic realism by Britain's greatest living auteur. The film takes place during the early years of the twentieth century, with the conflicts and choices a young woman experiences reflecting the struggle between tradition and change; a struggle that continues to resonate today. Set in a rural community, Sunset Song is driven by the young heroine Chris and her intense passion for life, for the unsettling Ewan and for the unforgiving land. The First World War reaches out from afar, bringing the modern world to bear on the community in the harshest possible way, yet in a final moment of grace, Chris endures, now a woman of remarkable strength who is able to draw from the ancient land in looking to the future. Sunset Song is at once epic in emotional scale and deeply romantic at its core, given power by Terence Davies' unflinching poetic realism",",
            3.2/5","R (for sexuality, nudity and some violence)",Iris Productions,"May 13, 2016","Aug 23, 2016","$159,257.00"
10,Rites Of Passage,(2011),W. Peter Iliff,W. Peter Iliff,"Comedy,Mystery & Suspense","Stephen Dorff,
                Wes Bentley,
                Christian Slater,
                Kate Maberly,
                Briana Evigan,
                Ryan Donowho,
                Travis Van Winkle,
                Carly Schroeder",,"Nathan (Ryan Donowho), an anthropology student, invites a few of his classmates and their professor (Stephen Dorff) to his family's abandoned ranch - once a sacred Chumash burial ground - to recreate an ancient ceremony. There they meet Nathan's psychotic older brother Benny (Wes Bentley) and drug fueled Delgado (Christian Slater). The students then embark on a rite of passage that no one will ever forget.",",
            2.1/5","R (for drug and alcohol abuse, violence, some strong sexual content and pervasive language)",,"Oct 16, 2012",102 minutes,","
